,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
1435,2270,1-Dec-22,9,11497,5,4,387287,1,19.053426,1,Sector-23 Kharghar,73.067216,Sai Pride Real Estate,22-Oct-20,26098190,Bhagwati Greens,,,,
1436,1995,1-Dec-22,6,11779,3,3,387287,1,19.053426,1,Sector-23 Kharghar,73.067216,Sai Pride Real Estate,22-Oct-20,22998360,Bhagwati Greens,,,,
1437,461,1-Dec-23,,9494,,1,1013984,0,19.274713,,Kalyan (West),73.083848,Bricks & Mortar,3-Nov-20,4379500,Godrej Nirvaan,,,,
1438,488.68106,1-Jan-23,,20471,,2,864236,0,19.038033,,Sector 11 Kharghar,73.070102,Capitor ventures private limited,17-Oct-20,10004000,United Emporio,Kharghar,4.95,2.111111111,3.944444444
1439,467.045621,1-Nov-23,,15629,2,2,897221,0,19.089618,,Kharghar,73.076837,Capitor ventures private limited,17-Oct-20,7299210,Today Global Anandam,Kharghar,4.95,2.111111111,3.944444444
1440,323.347556,1-Nov-23,,14689,1,1,897221,0,19.089618,,Kharghar,73.076837,Capitor ventures private limited,17-Oct-20,4744547,Today Global Anandam,Kharghar,4.95,2.111111111,3.944444444
1441,544,1-Jun-23,,21794,,2,36382,0,19.200522,,Kandivali (East),72.866631,ONE REALTY,2-Nov-20,11400000,UK Iridium,Kandivali East,4.86,2.222222222,3.933333333
1442,395,1-Jun-23,,17721,,1,36382,0,19.200522,,Kandivali (East),72.866631,ONE REALTY,2-Nov-20,7000000,UK Iridium,Kandivali East,4.86,2.222222222,3.933333333
1443,631.195096,1-Jun-22,,16516,2,2,413809,0,19.25103,,Dahisar (East),72.872084,ONE REALTY,2-Nov-20,10500000,Raj Rudraksha,Dahisar East,4.69,1.777777778,4.011111111
1444,444.54907,1-Jun-22,,17608,1,1,413809,0,19.25103,,Dahisar (East),72.872084,ONE REALTY,2-Nov-20,7800000,Raj Rudraksha,Dahisar East,4.69,1.777777778,4.011111111
1445,591,1-Dec-22,,15566,2,2,555501,0,19.245347,,Dahisar (East),72.867757,ONE REALTY,2-Nov-20,9199506,Guru Dwarka,,,,
1446,424,1-Dec-22,,15425,1,1,555501,0,19.245347,,Dahisar (East),72.867757,ONE REALTY,2-Nov-20,6550000,Guru Dwarka,,,,
1447,1263.2,1-Dec-20,,20899,3,3,550669,0,19.218934,,Borivali (East),72.857709,ONE REALTY,2-Nov-20,26400000,Triumph Siddhivinayak,,,,
1448,728,1-Dec-20,,18956,,2,437224,0,19.224513,,Borivali (East),72.866282,ONE REALTY,2-Nov-20,13104000,Paradigm Ariana Residency,,,,
1449,870,1-Dec-23,,13793,2,2,151641,0,19.243293,,Dahisar (East),72.860604,ONE REALTY,2-Nov-20,12000000,Chandak Nishchay,,,,
1450,650,1-Dec-23,,10769,1,1,151641,0,19.243293,,Dahisar (East),72.860604,ONE REALTY,2-Nov-20,7000000,Chandak Nishchay,,,,
1451,800,0,1,23125,2,2,253729,,19.205617,,Opp Singhania School,72.965142,,31-Oct-20,18500000,Wimbledon Park,"Majiwada, Thane West",4.97,2.555555556,4.144444444
